fitness,param_sl_atr,param_adx_period,param_adx_threshold,param_volume_lookback,param_volume_mult,param_regime_lookback,param_use_volume_filter,param_use_trend_filter,param_use_regime_filter,htf_train_n_trades,htf_train_profit_factor,htf_train_win_rate,htf_train_trades_per_month,htf_train_avg_trade_pct,htf_train_total_return_pct,m1_train_n_trades,m1_train_profit_factor,m1_train_win_rate,m1_train_trades_per_month,m1_train_avg_trade_pct,m1_train_total_return_pct,pass,fail_reason
1.1404473408599491,3.5,16,35,25,1.8,50,False,False,True,831,1.1404473408599491,55.47533092659447,5.960329877474081,0.03772351908476655,32.24575882744826,831,1.2201662299791718,55.23465703971119,5.960329877474081,0.047259483983603724,49.109916285983566,True,
1.1381053357351112,4.0,14,30,15,1.6,50,False,False,True,831,1.1381053357351112,55.47533092659447,5.960329877474081,0.03772351908476641,28.172096719583585,831,1.2211549988191912,55.23465703971119,5.960329877474081,0.04725948398360342,43.717969890289474,True,
1.1333376274373579,4.5,22,25,20,1.6,50,False,False,True,831,1.1333376274373579,55.47533092659447,5.960329877474081,0.03772351908476638,24.26391799432545,831,1.224864095982907,55.23465703971119,5.960329877474081,0.04725948398360312,39.32279288585403,True,
1.131880610739355,3.5,24,30,20,1.9,20,False,True,True,145,1.131880610739355,53.79310344827586,1.040009425070688,0.032915104307618265,4.667703142796122,145,1.2192635012240152,53.79310344827586,1.040009425070688,0.028261486143683553,7.366897068333356,True,
1.1313270199574363,5.0,22,15,20,1.6,50,False,False,True,831,1.1313270199574363,55.47533092659447,5.960329877474081,0.03772351908476617,21.64677369654989,831,1.207097442181492,55.23465703971119,5.960329877474081,0.0472594839836039,32.97513271587858,True,
1.1313270199574363,5.0,14,35,20,1.8,50,False,False,True,831,1.1313270199574363,55.47533092659447,5.960329877474081,0.03772351908476617,21.64677369654989,831,1.207097442181492,55.23465703971119,5.960329877474081,0.0472594839836039,32.97513271587858,True,
1.1313270199574363,5.0,22,35,40,1.1,50,False,False,True,831,1.1313270199574363,55.47533092659447,5.960329877474081,0.03772351908476617,21.64677369654989,831,1.207097442181492,55.23465703971119,5.960329877474081,0.0472594839836039,32.97513271587858,True,
1.1313270199574363,5.0,16,35,20,1.7,50,False,False,True,831,1.1313270199574363,55.47533092659447,5.960329877474081,0.03772351908476617,21.64677369654989,831,1.207097442181492,55.23465703971119,5.960329877474081,0.0472594839836039,32.97513271587858,True,
1.128992817061698,4.0,14,30,50,1.2,50,False,True,True,345,1.128992817061698,55.072463768115945,2.474505183788878,0.027204071003351368,9.868679172435575,345,1.2197456179501145,54.492753623188406,2.474505183788878,0.03014339195262616,16.07201501117237,True,
1.1273547556485992,4.0,18,30,35,1.7,40,False,True,True,250,1.1273547556485992,55.60000000000001,1.793119698397738,0.039754326430861485,7.057335453019266,250,1.205537586853791,55.2,1.793119698397738,0.03758960211190256,10.774830851095677,True,
